,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
878,107434711,apache/sling-org-apache-sling-jmx-provider,Java,51,6,SQ,5,2572 days 05:58:16,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
879,107434751,apache/sling-org-apache-sling-tail,Java,20,8,SQ,2,1844 days 07:33:51,0,NaT,NaT,0,0,1,60 days 12:29:33,60 days 12:29:33,1,NaT,NaT,0,sling
880,107434779,apache/sling-org-apache-sling-oak-restrictions,Java,22,7,SQ,5,1427 days 00:53:25,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
881,107434797,apache/sling-org-apache-sling-reqanalyzer,Java,30,6,SQ,4,2985 days 14:50:01,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
882,107434807,apache/sling-org-apache-sling-resource-inventory,Java,45,8,SQ,5,2567 days 06:06:28,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
883,107434823,apache/sling-org-apache-sling-resourcemerger,Java,141,13,SQ,19,2399 days 08:19:42,0,NaT,NaT,0,0,1,2 days 08:50:33,2 days 08:50:33,0,NaT,NaT,1,sling
884,107434840,apache/sling-org-apache-sling-rewriter,Java,153,12,SQ,32,4209 days 09:15:56,0,NaT,NaT,1,0,2,0 days 00:15:39,0 days 00:15:39,1,NaT,NaT,4,sling
885,107434866,apache/sling-org-apache-sling-security,Java,134,12,SQ,15,3329 days 07:37:11,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,sling
886,107434882,apache/sling-org-apache-sling-extensions-slf4j-mdc,Java,35,9,SQ,5,2541 days 08:50:08,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,sling
887,107434896,apache/sling-org-apache-sling-dynamic-include,Java,66,12,SQ,18,1717 days 03:13:35,3,207 days 15:56:44.666666666,6 days 06:04:36,2,2,1,25 days 22:47:31,25 days 22:47:31,2,-182 days +06:50:46.333333334,19 days 16:42:55,2,sling
