full_name,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end
apache/pdfbox-jbig2,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/airavata-django-portal,11,45 days 05:40:57.454545454,1 days 22:34:53,5,10,32,80 days 09:14:31.687500,55 days 08:59:42,32,35 days 03:33:34.232954546,53 days 10:24:49,47
apache/olingo-odata4-js,0,NaT,NaT,2,0,0,NaT,NaT,2,NaT,NaT,0
apache/sling-org-apache-sling-scripting-api,0,NaT,NaT,0,0,1,28 days 05:29:57,28 days 05:29:57,0,NaT,NaT,1
apache/struts-extras,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/sling-org-apache-sling-jcr-resourcesecurity,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/nifi-fds,0,NaT,NaT,3,0,0,NaT,NaT,3,NaT,NaT,6
apache/geronimo-jaspi,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/rocketmq-ons-cpp,0,NaT,NaT,1,0,0,NaT,NaT,2,NaT,NaT,0
apache/derby,4,1 days 14:38:59.500000,1 days 09:20:21,1280,15,19,16 days 12:33:09.157894736,1 days 21:20:00,1318,14 days 21:54:09.657894736,0 days 11:59:39,22
apache/geronimo-config,0,NaT,NaT,4,0,0,NaT,NaT,2,NaT,NaT,0
apache/jackrabbit-filevault-jenkins-lib,0,NaT,NaT,0,0,1,0 days 00:00:09,0 days 00:00:09,0,NaT,NaT,1
apache/couchdb-twig,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/predictionio-sdk-python,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/couchdb-folsom,0,NaT,NaT,0,0,1,2 days 12:17:48,2 days 12:17:48,0,NaT,NaT,2
apache/predictionio-template-java-ecom-recommender,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/httpasyncclient,2,0 days 13:20:37.500000,0 days 13:20:37.500000,0,2,0,NaT,NaT,0,NaT,NaT,0
apache/maven-antrun-plugin,8,27 days 07:52:06.875000,20 days 01:54:54,3,11,15,91 days 01:22:04,23 days 07:44:28,9,63 days 17:29:57.125000,3 days 05:49:34,16
apache/maven-artifact-transfer,5,1 days 13:27:42,0 days 02:39:23,1,5,18,53 days 22:09:35,26 days 14:11:39,6,52 days 08:41:53,26 days 11:32:16,16
apache/cxf-build-utils,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/archiva-web-content,0,NaT,NaT,0,0,1,0 days 00:01:01,0 days 00:01:01,0,NaT,NaT,1
apache/sling-org-apache-sling-scripting-freemarker,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1
apache/apisix-profiler,0,NaT,NaT,0,0,3,36 days 21:16:46,37 days 11:47:33,0,NaT,NaT,3
apache/maven-war-plugin,7,8 days 23:05:23,5 days 05:20:12,12,9,2,16 days 14:54:09,16 days 14:54:09,16,7 days 15:48:46,11 days 09:33:57,10
apache/maven-shared-incremental,0,NaT,NaT,0,0,15,11 days 18:21:38,0 days 20:49:31,1,NaT,NaT,16
apache/aurora-website,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/couchdb-couch-index,0,NaT,NaT,4,0,0,NaT,NaT,4,NaT,NaT,0
apache/servicecomb-toolkit,0,NaT,NaT,3,1,1,404 days 23:27:07,404 days 23:27:07,5,NaT,NaT,0
apache/commons-chain,2,16 days 14:24:19.500000,16 days 14:24:19.500000,0,5,15,70 days 23:06:34.933333333,11 days 00:00:28,13,54 days 08:42:15.433333333,-6 days +09:36:08.500000,16
apache/tiles-autotag,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,1
apache/karaf-site,2,0 days 22:13:40.500000,0 days 22:13:40.500000,0,2,2,0 days 10:29:53,0 days 10:29:53,0,-1 days +12:16:12.500000,-1 days +12:16:12.500000,2
apache/maven-acr-plugin,1,122 days 01:07:28,122 days 01:07:28,3,0,0,NaT,NaT,2,NaT,NaT,0
apache/openwhisk-package-deploy,0,NaT,NaT,8,0,0,NaT,NaT,8,NaT,NaT,0
apache/arrow-experimental-rs-arrow2,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0
apache/geronimo-metrics,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/sling-org-apache-sling-jcr-api,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/sling-org-apache-sling-launchpad-base,3,0 days 20:09:25.333333333,0 days 00:04:18,1,3,0,NaT,NaT,1,NaT,NaT,0
apache/sling-org-apache-sling-scripting-el-api,1,0 days 00:55:42,0 days 00:55:42,0,1,0,NaT,NaT,0,NaT,NaT,0
apache/freemarker,17,22 days 16:02:25.117647058,3 days 23:56:33,45,23,6,98 days 20:09:02,4 days 08:24:04,63,76 days 04:06:36.882352942,0 days 08:27:31,10
apache/axis-axis2-java-sandesha,0,NaT,NaT,0,0,0,NaT,NaT,1,NaT,NaT,0
apache/sling-org-apache-sling-app-cms,0,NaT,NaT,0,0,1,97 days 18:57:38,97 days 18:57:38,6,NaT,NaT,11
apache/sling-org-apache-sling-javax-activation,4,43 days 02:48:02,1 days 13:42:16,1,3,0,NaT,NaT,0,NaT,NaT,0
apache/logging-log4j-audit,0,NaT,NaT,1,0,3,56 days 23:27:45.666666667,47 days 11:41:45,1,NaT,NaT,8
apache/servicecomb-fence,1,0 days 18:00:22,0 days 18:00:22,5,3,17,0 days 11:14:01.176470588,0 days 20:56:29,7,-1 days +17:13:39.176470588,0 days 02:56:07,18
apache/dolphinscheduler-operator,0,NaT,NaT,0,0,5,0 days 09:33:03,0 days 01:09:32,0,NaT,NaT,5
apache/couchdb-documentation,50,57 days 11:39:23.820000,0 days 04:12:59,32,47,15,152 days 18:29:53.133333334,0 days 11:55:33,4,95 days 06:50:29.313333334,0 days 07:42:34,11
apache/sling-org-apache-sling-karaf-configs,1,772 days 14:42:06,772 days 14:42:06,1,0,0,NaT,NaT,0,NaT,NaT,0
apache/tomee-site-pub,0,NaT,NaT,0,0,8,91 days 03:22:34.500000,107 days 02:01:29.500000,2,NaT,NaT,6
apache/maven-pmd-plugin,22,46 days 00:55:11.863636363,3 days 17:15:54.500000,17,24,45,17 days 13:06:11.844444444,5 days 04:16:38,16,-29 days +12:10:59.980808081,1 days 11:00:43.500000,45
apache/couchdb-peruser,0,NaT,NaT,1,0,0,NaT,NaT,1,NaT,NaT,0
apache/cloudstack-docs-rn,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/openwhisk-devtools,2,6 days 14:18:49.500000,6 days 14:18:49.500000,40,5,3,296 days 20:07:41.333333332,442 days 03:21:28,22,290 days 05:48:51.833333332,435 days 13:02:38.500000,3
apache/fineract-cn-service-starter,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0
apache/maven-mvnd,232,7 days 07:38:48.232758620,0 days 05:47:00,10,254,82,24 days 09:45:42.719512195,4 days 05:24:08,55,17 days 02:06:54.486753575,3 days 23:37:08,100
apache/flink-shaded,2,3 days 12:21:39,3 days 12:21:39,2,3,7,31 days 17:17:43,6 days 00:10:06,3,28 days 04:56:04,2 days 11:48:27,8
apache/james-mime4j,2,10 days 21:09:25,10 days 21:09:25,77,2,10,24 days 20:55:35.800000,7 days 01:06:50.500000,58,13 days 23:46:10.800000,-4 days +03:57:25.500000,13
